secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
102456,2018/04/02,91,-70,0.185244,249.6096,16.87212,0.006073,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-65,0.188943,246.6109,14.90655,0.006178,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-60,0.193453,243.7314,13.20625,0.006934,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-55,0.198561,240.866,11.68635,0.007744,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-50,0.204286,237.94,10.30301,0.008633,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-45,0.210658,234.8831,9.02478,0.009579,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-40,0.217585,231.6239,7.823254,0.010424,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-35,0.224668,228.0971,6.669105,0.01092,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-30,0.231462,224.2462,5.546441,0.011521,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-25,0.238685,219.9409,4.475267,0.01451,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-20,0.250011,214.7227,3.506461,0.023442,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-15,0.271722,207.5132,2.655596,0.037596,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,-10,0.301759,197.3261,1.800414,0.048991,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,10,0.158446,262.5533,0.858199,0.00993,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,15,0.160211,257.7559,1.420289,0.006903,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,20,0.163609,254.1586,2.078311,0.006096,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,25,0.167785,251.0986,2.839415,0.006232,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,30,0.172245,248.2872,3.709387,0.006451,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,35,0.176875,245.5916,4.698343,0.006708,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,40,0.181714,242.9339,5.821796,0.007032,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,45,0.18681,240.2539,7.099929,0.007426,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,50,0.192222,237.4977,8.55918,0.007942,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,55,0.198032,234.6107,10.23475,0.008572,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,60,0.204213,231.5331,12.16721,0.009131,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,65,0.210439,228.2077,14.39072,0.009307,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,70,0.216216,224.588,16.93686,0.009195,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,75,0.221667,220.5887,19.90044,0.009852,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,80,0.2283,215.9512,23.5668,0.01247,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,85,0.238213,210.1309,28.48667,0.015471,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,91,90,0.249544,202.5391,35.206,0.01496,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-90,0.185434,274.0739,38.2404,0.042159,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-85,0.17661,265.0797,29.9527,0.030878,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-80,0.17189,259.0307,24.65383,0.019165,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-75,0.172435,254.7394,21.2296,0.011825,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-70,0.17608,251.2339,18.74026,0.009734,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-65,0.180897,248.0023,16.67866,0.009477,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-60,0.186263,244.8481,14.86073,0.009566,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-55,0.192095,241.6744,13.21401,0.009847,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-50,0.198419,238.4062,11.69664,0.010262,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-45,0.205231,234.9715,10.27689,0.010784,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-40,0.212539,231.2966,8.932157,0.011468,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-35,0.220342,227.2984,7.645912,0.012336,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-30,0.228747,222.8694,6.409761,0.013708,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-25,0.238583,217.8118,5.234058,0.016948,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-20,0.25181,211.7053,4.134014,0.023866,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-15,0.270168,203.8554,3.088354,0.034341,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,-10,0.292759,193.3466,2.039797,0.045346,P,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,10,0.150596,265.4547,0.941742,0.00922,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,15,0.15359,260.3424,1.571166,0.008141,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,20,0.157889,256.4566,2.313136,0.008022,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,25,0.162841,253.1137,3.176481,0.008052,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,30,0.168032,250.0105,4.168794,0.008064,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,35,0.173408,247.0082,5.303305,0.008188,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,40,0.179037,244.0228,6.599715,0.008402,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,45,0.184927,240.9845,8.08102,0.008656,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,50,0.19108,237.8329,9.775415,0.008999,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,55,0.197546,234.5098,11.72104,0.009476,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,60,0.204382,230.9501,13.96834,0.010069,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,65,0.211593,227.0767,16.58099,0.010777,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,70,0.219235,222.7896,19.651,0.011845,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,75,0.227758,217.9208,23.34929,0.013648,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,80,0.2378,212.1826,27.9623,0.015723,C,12486C10,DJX,9999,1,32768,,A,
102456,2018/04/02,122,85,0.248832,205.2085,33.83422,0.016616,C,12486C10,DJX,9999,1,32768,,A,
