PERMNO,date,TICKER,PRC
22752,2019/04/01,MRK,83.30000
22752,2019/04/02,MRK,83.21000
22752,2019/04/03,MRK,83.18000
22752,2019/04/04,MRK,81.85000
22752,2019/04/05,MRK,81.15000
22752,2019/04/08,MRK,80.95000
22752,2019/04/09,MRK,80.80000
22752,2019/04/10,MRK,80.82000
22752,2019/04/11,MRK,79.84000
22752,2019/04/12,MRK,79.43000
22752,2019/04/15,MRK,78.53000
22752,2019/04/16,MRK,77.56000
22752,2019/04/17,MRK,73.92000
22752,2019/04/18,MRK,73.19000
22752,2019/04/22,MRK,73.46000
22752,2019/04/23,MRK,74.60000
22752,2019/04/24,MRK,74.73000
22752,2019/04/25,MRK,76.34000
22752,2019/04/26,MRK,76.63000
22752,2019/04/29,MRK,76.78000
22752,2019/04/30,MRK,78.71000
22752,2019/05/01,MRK,78.72000
22752,2019/05/02,MRK,79.52000
22752,2019/05/03,MRK,80.00000
22752,2019/05/06,MRK,79.48000
22752,2019/05/07,MRK,77.90000
22752,2019/05/08,MRK,78.18000
22752,2019/05/09,MRK,78.33000
22752,2019/05/10,MRK,78.19000
22752,2019/05/13,MRK,77.17000
22752,2019/05/14,MRK,77.42000
22752,2019/05/15,MRK,77.55000
22752,2019/05/16,MRK,79.13000
22752,2019/05/17,MRK,78.72000
22752,2019/05/20,MRK,78.88000
22752,2019/05/21,MRK,79.50000
22752,2019/05/22,MRK,80.98000
22752,2019/05/23,MRK,81.02000
22752,2019/05/24,MRK,81.17000
22752,2019/05/28,MRK,80.26000
22752,2019/05/29,MRK,79.36000
22752,2019/05/30,MRK,79.68000
22752,2019/05/31,MRK,79.21000
22752,2019/06/03,MRK,80.26000
22752,2019/06/04,MRK,81.08000
22752,2019/06/05,MRK,81.69000
22752,2019/06/06,MRK,81.44000
22752,2019/06/07,MRK,82.46000
22752,2019/06/10,MRK,82.48000
22752,2019/06/11,MRK,82.98000
22752,2019/06/12,MRK,83.71000
22752,2019/06/13,MRK,82.90000
22752,2019/06/14,MRK,82.78000
22752,2019/06/17,MRK,83.30000
22752,2019/06/18,MRK,84.49000
22752,2019/06/19,MRK,85.36000
22752,2019/06/20,MRK,84.60000
22752,2019/06/21,MRK,84.57000
22752,2019/06/24,MRK,85.51000
22752,2019/06/25,MRK,85.24000
22752,2019/06/26,MRK,83.54000
22752,2019/06/27,MRK,83.83000
22752,2019/06/28,MRK,83.85000
26403,2019/04/01,DIS,112.51000
26403,2019/04/02,DIS,111.96000
26403,2019/04/03,DIS,112.52000
26403,2019/04/04,DIS,114.75000
26403,2019/04/05,DIS,115.00000
26403,2019/04/08,DIS,114.96000
26403,2019/04/09,DIS,116.86000
26403,2019/04/10,DIS,117.16000
26403,2019/04/11,DIS,116.60000
26403,2019/04/12,DIS,130.06000
26403,2019/04/15,DIS,132.03999
26403,2019/04/16,DIS,129.89999
26403,2019/04/17,DIS,131.75000
26403,2019/04/18,DIS,132.45000
26403,2019/04/22,DIS,131.67999
26403,2019/04/23,DIS,133.36000
26403,2019/04/24,DIS,135.10001
26403,2019/04/25,DIS,137.24001
26403,2019/04/26,DIS,139.92000
26403,2019/04/29,DIS,139.30000
26403,2019/04/30,DIS,136.97000
26403,2019/05/01,DIS,136.38000
26403,2019/05/02,DIS,134.14000
26403,2019/05/03,DIS,134.33000
26403,2019/05/06,DIS,135.00000
26403,2019/05/07,DIS,133.44000
26403,2019/05/08,DIS,134.99001
26403,2019/05/09,DIS,133.59000
26403,2019/05/10,DIS,134.03999
26403,2019/05/13,DIS,131.34000
26403,2019/05/14,DIS,133.20000
26403,2019/05/15,DIS,134.67999
26403,2019/05/16,DIS,135.50000
26403,2019/05/17,DIS,135.03999
26403,2019/05/20,DIS,133.91000
26403,2019/05/21,DIS,134.09000
26403,2019/05/22,DIS,133.85001
26403,2019/05/23,DIS,132.73000
26403,2019/05/24,DIS,132.78999
26403,2019/05/28,DIS,132.62000
26403,2019/05/29,DIS,131.57001
26403,2019/05/30,DIS,132.20000
26403,2019/05/31,DIS,132.03999
26403,2019/06/03,DIS,132.47000
26403,2019/06/04,DIS,134.82001
26403,2019/06/05,DIS,135.94000
26403,2019/06/06,DIS,137.21001
26403,2019/06/07,DIS,138.03999
