gvkey,iid,datadate,tic,div
002968,85,2019/05/06,JPM.PH,
002968,85,2019/05/07,JPM.PH,
002968,85,2019/05/08,JPM.PH,
002968,85,2019/05/09,JPM.PH,
002968,85,2019/05/10,JPM.PH,
002968,85,2019/05/13,JPM.PH,
002968,85,2019/05/14,JPM.PH,
002968,85,2019/05/15,JPM.PH,
002968,85,2019/05/16,JPM.PH,
002968,85,2019/05/17,JPM.PH,
002968,85,2019/05/20,JPM.PH,
002968,85,2019/05/21,JPM.PH,
002968,85,2019/05/22,JPM.PH,
002968,85,2019/05/23,JPM.PH,
002968,85,2019/05/24,JPM.PH,
002968,85,2019/05/28,JPM.PH,
002968,85,2019/05/29,JPM.PH,
002968,85,2019/05/30,JPM.PH,
002968,85,2019/05/31,JPM.PH,
002968,85,2019/06/03,JPM.PH,
002968,85,2019/06/04,JPM.PH,
002968,85,2019/06/05,JPM.PH,
002968,85,2019/06/06,JPM.PH,
002968,85,2019/06/07,JPM.PH,
002968,85,2019/06/10,JPM.PH,
002968,85,2019/06/11,JPM.PH,
002968,85,2019/06/12,JPM.PH,
002968,85,2019/06/13,JPM.PH,
002968,85,2019/06/14,JPM.PH,
002968,85,2019/06/17,JPM.PH,
002968,85,2019/06/18,JPM.PH,
002968,85,2019/06/19,JPM.PH,
002968,85,2019/06/20,JPM.PH,
